"id","name","fullname","capital","area_km2","currency"
74,"Кирибати","Республика Кирибати","Южная Тарава","811.00","Австралийский доллар (AUD)"
75,"Китай","Китайская Народная Республика","Пекин","9596961.00","Юань (CNY)"
76,"Колумбия","Республика Колумбия","Богота","1141748.00","Колумбийское песо (COP)"
77,"Коморы","Союз Коморских Островов","Морони","1862.00","Коморский франк (KMF)"
78,"Конго (Браззавиль)","Республика Конго","Браззавиль","342000.00","Франк КФА (XAF)"
79,"Конго (Киншаса)","Демократическая Республика Конго","Киншаса","2344858.00","Конголезский франк (CDF)"
80,"Коста-Рика","Республика Коста-Рика","Сан-Хосе","51100.00","Коста-риканский колон (CRC)"
81,"Кот-д’Ивуар","Республика Кот-д’Ивуар","Ямусукро","322463.00","Франк КФА (XOF)"
82,"Куба","Республика Куба","Гавана","109884.00","Кубинское песо (CUP)"
83,"Кувейт","Государство Кувейт","Эль-Кувейт","17818.00","Кувейтский динар (KWD)"
84,"Лаос","Лаосская Народно-Демократическая Республика","Вьентьян","236800.00","Лаосский кип (LAK)"
85,"Латвия","Латвийская Республика","Рига","64559.00","Евро (EUR)"
86,"Лесото","Королевство Лесото","Масеру","30355.00","Лоти (LSL)"
87,"Либерия","Республика Либерия","Монровия","111369.00","Либерийский доллар (LRD)"
88,"Ливан","Ливанская Республика","Бейрут","10452.00","Ливанский фунт (LBP)"
89,"Ливия","Государство Ливия","Триполи","1759540.00","Ливийский динар (LYD)"
90,"Литва","Литовская Республика","Вильнюс","65300.00","Евро (EUR)"
91,"Лихтенштейн","Княжество Лихтенштейн","Вадуц","160.00","Швейцарский франк (CHF)"
92,"Люксембург","Великое Герцогство Люксембург","Люксембург","2586.00","Евро (EUR)"
93,"Маврикий","Республика Маврикий","Порт-Луи","2040.00","Маврикийская рупия (MUR)"
94,"Мавритания","Исламская Республика Мавритания","Нуакшот","1030700.00","Угия (MRU)"
95,"Мадагаскар","Республика Мадагаскар","Антананариву","587041.00","Малагасийский ариари (MGA)"
96,"Малави","Республика Малави","Лилонгве","118484.00","Малавийская квача (MWK)"
97,"Малайзия","Малайзия","Куала-Лумпур","330803.00","Малайзийский ринггит (MYR)"
98,"Мали","Республика Мали","Бамако","1240192.00","Франк КФА (XOF)"
99,"Мальдивы","Мальдивская Республика","Мале","298.00","Мальдивская руфия (MVR)"
100,"Мальта","Республика Мальта","Валлетта","316.00","Евро (EUR)"
101,"Марокко","Королевство Марокко","Рабат","446550.00","Марокканский дирхам (MAD)"
102,"Маршалловы Острова","Республика Маршалловы Острова","Маджуро","181.00","Доллар США (USD)"
103,"Мексика","Мексиканские Соединённые Штаты","Мехико","1964375.00","Мексиканское песо (MXN)"
104,"Мозамбик","Республика Мозамбик","Мапуту","801590.00","Мозамбикский метикал (MZN)"
105,"Молдавия","Республика Молдова","Кишинёв","33846.00","Молдавский лей (MDL)"
106,"Монако","Княжество Монако","Монако","2.00","Евро (EUR)"
107,"Монголия","Монголия","Улан-Батор","1564110.00","Монгольский тугрик (MNT)"
108,"Мьянма","Республика Союз Мьянма","Нейпьидо","676578.00","Мьянманский кьят (MMK)"
109,"Намибия","Республика Намибия","Виндхук","825615.00","Намибийский доллар (NAD)"
110,"Науру","Республика Науру","Ярен","21.00","Австралийский доллар (AUD)"
111,"Непал","Федеративная Демократическая Республика Непал","Катманду","147181.00","Непальская рупия (NPR)"
112,"Нигер","Республика Нигер","Ниамей","1267000.00","Франк КФА (XOF)"
113,"Нигерия","Федеративная Республика Нигерия","Абуджа","923768.00","Найра (NGN)"
114,"Нидерланды","Королевство Нидерландов","Амстердам","41543.00","Евро (EUR)"
115,"Никарагуа","Республика Никарагуа","Манагуа","130373.00","Никарагуанская кордоба (NIO)"
116,"Новая Зеландия","Новая Зеландия","Веллингтон","270467.00","Новозеландский доллар (NZD)"
117,"Норвегия","Королевство Норвегия","Осло","323802.00","Норвежская крона (NOK)"
118,"ОАЭ","Объединённые Арабские Эмираты","Абу-Даби","83600.00","Дирхам ОАЭ (AED)"
119,"Оман","Султанат Оман","Маскат","309500.00","Оманский риал (OMR)"
120,"Пакистан","Исламская Республика Пакистан","Исламабад","881913.00","Пакистанская рупия (PKR)"
121,"Палау","Республика Палау","Нгерулмуд","459.00","Доллар США (USD)"
122,"Панама","Республика Панама","Панама","75417.00","Панамский бальбоа (PAB)"
123,"Папуа — Новая Гвинея","Независимое Государство Папуа — Новая Гвинея","Порт-Морсби","462840.00","Кина (PGK)"
124,"Парагвай","Республика Парагвай","Асунсьон","406752.00","Парагвайский гуарани (PYG)"
125,"Перу","Республика Перу","Лима","1285216.00","Перуанский соль (PEN)"
126,"Польша","Республика Польша","Варшава","312679.00","Злотый (PLN)"
127,"Португалия","Португальская Республика","Лиссабон","92090.00","Евро (EUR)"
128,"Республика Корея","Республика Корея","Сеул","100210.00","Южнокорейская вона (KRW)"
129,"Россия","Российская Федерация","Москва","17098246.00","Российский рубль (RUB)"
130,"Руанда","Республика Руанда","Кигали","26338.00","Франк Руанды (RWF)"
131,"Румыния","Румыния","Бухарест","238397.00","Румынский лей (RON)"
132,"Сальвадор","Республика Эль-Сальвадор","Сан-Сальвадор","21041.00","Доллар США (USD)"
133,"Самоа","Независимое Государство Самоа","Апиа","2842.00","Самоанская тала (WST)"
134,"Сан-Марино","Республика Сан-Марино","Сан-Марино","61.00","Евро (EUR)"
135,"Сан-Томе и Принсипи","Демократическая Республика Сан-Томе и Принсипи","Сан-Томе","964.00","Добра (STN)"
136,"Саудовская Аравия","Королевство Саудовская Аравия","Эр-Рияд","2149690.00","Саудовский риял (SAR)"
137,"Северная Македония","Республика Северная Македония","Скопье","25713.00","Македонский денар (MKD)"
138,"Сейшелы","Республика Сейшельские Острова","Виктория","452.00","Сейшельская рупия (SCR)"
139,"Сенегал","Республика Сенегал","Дакар","196722.00","Франк КФА (XOF)"
140,"Сент-Винсент и Гренадины","Сент-Винсент и Гренадины","Кингстаун","389.00","Восточно-карибский доллар (XCD)"
141,"Сент-Китс и Невис","Федерация Сент-Китс и Невис","Бастер","261.00","Восточно-карибский доллар (XCD)"
142,"Сент-Люсия","Сент-Люсия","Кастри","616.00","Восточно-карибский доллар (XCD)"
143,"Сербия","Республика Сербия","Белград","88361.00","Сербский динар (RSD)"
144,"Сингапур","Республика Сингапур","Сингапур","719.00","Сингапурский доллар (SGD)"
145,"Сирия","Сирийская Арабская Республика","Дамаск","185180.00","Сирийский фунт (SYP)"
146,"Словакия","Словацкая Республика","Братислава","49035.00","Евро (EUR)"
147,"Словения","Республика Словения","Любляна","20273.00","Евро (EUR)"
148,"Сомали","Федеративная Республика Сомали","Могадишо","637657.00","Сомалийский шиллинг (SOS)"
149,"Судан","Республика Судан","Хартум","1861484.00","Суданский фунт (SDG)"
150,"Суринам","Республика Суринам","Парамарибо","163820.00","Суринамский доллар (SRD)"
151,"США","Соединённые Штаты Америки","Вашингтон","9833517.00","Доллар США (USD)"
152,"Сьерра-Леоне","Республика Сьерра-Леоне","Фритаун","71740.00","Леоне (SLL)"
153,"Таджикистан","Республика Таджикистан","Душанбе","143100.00","Сомони (TJS)"
154,"Таиланд","Королевство Таиланд","Бангкок","513120.00","Бат (THB)"
155,"Танзания","Объединённая Республика Танзания","Додома","945087.00","Танзанийский шиллинг (TZS)"
